English,CEFR,gender,word,wordWithNiqqud,transliteration,definition,example,exampleWithNiqqud,translation
olive oil,A2,masculine,שמן זית,שֶׁמֶן זַיִת,shémen záyit,שמן שמופק מפרי זית,אני מוריד שמן זית לסלט.,אֲנִי מוֹרִיד שֶׁמֶן זַיִת לַסָּלָט.,I add olive oil to the salad.
on the way,A2,,בדרך,בַּדֶּרֶךְ,badéreħ,במהלך ההליכה,אנחנו כבר בדרך לשיחה.,אֲנַחְנוּ כְּבָר בַּדֶּרֶךְ לָשִׂיחָה.,We are already on the way to the meeting.
"on, about",A1,preposition,על,עַל,al,מילת יחס לציון נושא או מיקום,הספר מדבר על היסטוריה.,הַסֵּפֶר מְדַבֵּר עַל הִסְטוֹרְיָה.,The book is about history.
one,A1,feminine,אחת,אַחַת,aħát,מספר ראשון בנקבה,יש לי ילדה אחת.,יֵשׁ לִי יַלְדָּה אַחַת.,I have one girl.
one,A1,masculine,אחד,אֶחָד,eħád,מספר ראשון בספירה,יש לי תפוח אחד.,יֵשׁ לִי תַּפּוּחַ אֶחָד.,I have one apple.
one-sided,B2,adjective,חד צדדי,חַד צְדָדִי,ħad tsdadí,,זהו הסכם חד צדדי שלא מתחשב בצד השני.,זֶהוּ הֶסְכֵּם חַד־צַדִּי שֶׁלֹּא מִתְחַשֵּׁב בַּצַּד הַשֵּׁנִי.,This is a one-sided agreement that does not consider the other side.
onion,A1,masculine,בצל,בָּצָל,batsál,כלי לאחסון נוזלים,אני לא אוהב בצל.,אֲנִי לֹא אוֹהֵב בָּצָל.,I don’t like onions.
only,A1,,רק,רַק,rak,"בלבד, לא יותר",אני רוצה רק מים.,אֲנִי רוֹצֶה רַק מַיִם.,I want only water.
open,A1,verb,פתח,פָּתַח,patáħ,העביר ממצב סגור לפתוח,הוא פתח את הדלת לאורחים.,הוּא פָּתַח אֶת הַדֶּלֶת לְאוֹרְחִים.,He opened the door for the guests.
open,A1,adjective,פתוח,פָּתוּחַ,patúaħ,שאינו סגור,החנות פתוחה עד עשר.,הַחֲנוּת פְּתוּחָה עַד עֶשֶׂר.,The store is open until ten.
opera,B1,feminine,אופרה,אוֹפֵּרָה,ópera,יצירה מוסיקלית דרמטית,הייתי באופרה והמוסיקה היתה מדהימה.,הָיִיתִי בְּאוֹפֵּרָה וְהַמּוּסִיקָה הָיְתָה מַדְהִימָה.,"I went to the opera, and the music was amazing."
operating system,B2,feminine,מערכת הפעלה,מַעֲרֶכֶת הַפְעָלָה,maaréħet hafalá,,מערכת ההפעלה עודכנה לגרסה חדשה.,מַעֲרֶכֶת הַהֲפָעָלָה עוּדְכְּנָה לִגְרְסָה חֲדָשָׁה.,The operating system was updated to a new version.
opinion,A2,feminine,דעה,דֵּעָה,deá,מחשבה או השקפה,יש לי דעה טובה.,יֵשׁ לִי דֵּעָה טוֹבָה.,I have a good opinion.
opportunity,B2,feminine,הִזדַמְנוּת,הִזְדַּמְּנוּת,hizdamnút,אפשרות שניתנת,זו ההִזדַמְנוּת שלך להוכיח את היכולות שלך.,זוֹ הִזְדַּמְּנוּת שֶׁלְּךָ לְהוֹכִיחַ אֶת הַיְּכוֹלוֹת שֶׁלְּךָ.,This is your opportunity to prove your abilities.
opposite,B1,masculine,הפך,הֶפֶךְ,héfeħ,ההפך ממשהו,ההפך מאהבה הוא שנאה.,הַהֵפֶךְ מֵאַהֲבָה הוּא שִׂנְאָה.,The opposite of love is hatred.
opposition,B2,feminine,אופוזיציה,אוֹפּוֹזִיצְיָה,opozítsya,קבוצה המתנגדת לשלטון,האופוזיציה מתנגדת לחוק החדש שהממשלה מציעה.,הָאוֹפּוֹזִיצְיָה מִתְנַגֶּדֶת לַחֹק הֶחָדָשׁ שֶׁהַמֶּמְשָׁלָה מַצִּיעָה.,The opposition opposes the new law proposed by the government.
optimal,B2,adjective,אופטימלי,אוֹפְּטִימָלִי,optimáli,בצורה מיטבית,הפתרון האופטימלי לבעיה נמצא לאחר מחקר ארוך.,הַפִּתְרוֹן הָאוֹפְּטִימָלִי לַבְּעָיָה נִמְצָא לְאַחַר מֶחְקָר אָרוֹךְ.,The optimal solution to the problem was found after long research.
optimistic,B1,adjective,אופטימי,אוֹפְּטִימִי,optími,בעל השקפה אופטימית,היא אופטימית ותומדת שכל דבר יהיה טוב.,הִיא אוֹפְּטִימִית וְתוֹמֶדֶת שֶׁכָּל דָּבָר יִהְיֶה טוֹב.,She is optimistic and believes that everything will be fine.
option,B2,feminine,אופציה,אוֹפְּצְיָה,óptsia,בחירה בין אפשרויות,יש לך אופציה לבחור בין שני מסלולים שונים.,יֵשׁ לְךָ אוֹפְּצְיָה לִבְחוֹר בֵּין שְׁנֵי מַסְלוּלִים שׁוֹנִים.,You have the option to choose between two different paths.
optional,B2,adjective,אופציונלי,אוֹפְּצְיוֹנָלִי,optzyonali,בעל אפשרות לבחירה,השתתפות בהרצאה היא אופציונלית ולא חובה.,הִשְׁתַּתְּפוּת בַּהַרְצָאָה הִיא אוֹפְּצְיוֹנָלִית וְלֹא חוֹבָה.,Participation in the lecture is optional and not mandatory.
or,A1,,או,אוֹ,o,מילת חיבור לבחירה בין אפשרויות,אתה רוצה תה או קפה?,אַתָּה רוֹצֶה תֵּה אוֹ קָפֶה?,Do you want tea or coffee?
orange,A1,masculine,תפוז,תַּפּוּז,tapúz,פרי הדר עגול ומתוק,התפוז טעים ומתוק.,הַתַּפּוּז טָעִים וּמָתוֹק.,The orange is tasty and sweet.
orange,A2,masculine,כתום,כָּתוֹם,katóm,צבע בין אדום לצהוב,השמלה שלה כתומה ויפה.,הַשִּׂמְלָה שֶׁלָּהּ כְּתוּמָה וִיפָה.,Her dress is orange and beautiful.
"order, invite",A2,verb,הזמין,הִזְמִין,hizmín,ביקש מישהו להגיע או הזמין דבר,הוא הזמין פיצה לארוחה.,הוּא הִזְמִין פִּיצָה לְאֲרוּחָה.,He ordered pizza for the meal.
organic,B2,adjective,אורגני,אוֹרְגָּנִי,orgáni,שייך לאורגנים חיים או לחקלאות טבעית,החווה מתנהלת לפי עקרונות חקלאות אורגנית.,הַחֲוָוה מִתְנַהֶלֶת לְפִי עִקָּרוֹנוֹת חַקְלָאוּת אוֹרְגָּנִית.,The farm is run according to principles of organic agriculture.
organism,B2,masculine,אורגניזם,אוֹרְגָּנִיזְם,organizm,יצור חי,כל אורגניזם זקוק למים כדי לשרוד.,כָּל אוֹרְגָּנִיזְם זָקוּק לְמַיִם כְּדֵי לִשְׂרוֹד.,Every organism needs water to survive.
"organization, order",A2,masculine,סדר,סֵדֶר,séder,סידור או מבנה קבוע,הסדר בכיתה חשוב למורה.,הַסֵּדֶר בַּכִּתָּה חָשׁוּב לְמּוֹרֶה.,Order in the classroom is important for the teacher.
organize,A2,verb,סידר,סִידֵּר,sidér,סידר חפצים בסדר,הוא סידר את החדר שלו.,הוּא סִידֵּר אֶת הַחֶדֶר שֶׁלוֹ.,He organized his room.
orthodox,B2,adjective,אורתודוקסי,אוֹרְתוֹדוֹקְסִי,ortodóksi,שייך לזרם הדתי השומר בקפדנות על מסורת,המשפחה שומרת על אורח חיים אורתודוקסי.,הַמִּשְׁפָּחָה שׁוֹמֶרֶת עַל אוֹרַח חַיִּים אוֹרְתוֹדוֹקְסִי.,The family maintains an Orthodox lifestyle.
"other, another",A1,adjective,אחר,אַחֵר,aħér,שונה מזה שכבר הוזכר,אני רוצה ספר אחר.,אֲנִי רוֹצֶה סֵפֶר אַחֵר.,I want another book.
otter,B2,masculine,כלב נהר,כֶּלֶב נָהָר,kélev nahár,,כלב נהר צד דגים בזרם המהיר.,כֶּלֶב נָהָר צָד דָּגִים בַּזֶּרֶם הַמָּהִיר.,An otter hunted fish in the fast stream.
our,A1,all,שלנו,שֶׁלָּנוּ,shelánu,צורת שייכות של דוברים,הבית הזה שלנו.,הַבַּיִת הַזֶּה שֶׁלָּנוּ.,This house is ours.
ourselves,A2,all,עצמנו,עַצְמֵנוּ,atsmenu,אנחנו בעצמנו,אנחנו עובדים יחד ונעזרים בעצמנו.,אֲנַחְנוּ עוֹבְדִים בְּיַחַד וְנֶעֱזָרִים בְּעַצְמֵנוּ.,We work together and rely on ourselves.
outside,A2,,חוץ,חוּץ,ħúts,החלק החיצוני של מקום,הכיסא נמצא בחוץ.,הַכִּסֵּא נִמְצָא בַּחוּץ.,The chair is outside.
outside,A2,,בחוץ,בַּחוּץ,baħúts,מחוץ למקום,הילד משחק בחוץ.,הַיֶּלֶד מְשַׂחֵק בַּחוּץ.,The child is playing outside.
"outside, wilderness",B1,,בר,בָּר,bar,אזור פתוח בטבע,הוא אהב לטיל בבר ולראות את הטבע.,הוּא אָהַב לִטְיַיל בַּבָּר וּלִרְאוֹת אֶת הַטֶּבַע.,He loved to hike outside and see nature.
oval,B2,masculine,סגלגל,סְגַלְגַּל,sgalgál,,לפניו הונח שולחן סגלגל.,לְפָנָיו הוּנַח שֻׁלְחָן סְגַלְגַּל.,In front of him was placed an oval table.
owl,B1,masculine,ינשוף,יַנְשׁוּף,yanshúf,עוף לילה חכם,הינשוף ישן ביום ועורר בלילה.,הַיַּנְשׁוּף יָשֵׁן בַּיּוֹם וְעוֹרֵר בַּלַּיְלָה.,The owl sleeps during the day and is awake at night.
oxygen,B2,masculine,חמצן,חַמְצָן,ħamtsán,,האדם אינו יכול לחיות ללא חמצן.,הָאָדָם אֵינוֹ יָכוֹל לִחְיוֹת לְלֹא חַמְצָן.,Man cannot live without oxygen.
"package, parcel",A2,feminine,חבילה,חֲבִילָה,ħavilá,חבילה שנשלחת או מתקבלת,החבילה שלך מחכה בדואר.,הַחֲבִילָה שֶׁלְּךָ מְחַכָּה בַּדֹּאַר.,Your package is waiting at the post office.
paddle wheel,C,feminine,משוטה,מְשׁוֹטֶה,meshotá,גלגל עם משוטים להנעה,המשוטה סובבה את האונייה בנהר.,הַמְּשׁוֹטָה סוֹבְבָה אֶת הָאוֹנִיָּה בַּנָּהָר.,The paddle wheel turned the boat in the river.
page,A2,masculine,דף,דַּף,daf,דף יחיד מנייר,אני קורא את הדף של הספר.,אֲנִי קוֹרֵא אֶת הַדַּף שֶׁל הַסֵּפֶר.,I am reading the page of the book.
pain,B1,masculine,כאב,כְּאֵב,keév,תחושת כאב בגוף,לי יש כאב ראש חזק.,לִי יֵשׁ כְּאֵב רֹאשׁ חָזָק.,I have a strong headache.
palace,B2,masculine,היכל,הֵיכָל,heiħál,מבנה מפואר,ההיכל החדש נבנה לאירועי תרבות ומוזיקה.,הַהֵיכָל הֶחָדָשׁ נִבְנָה לְאֵירוּעֵי תַּרְבּוּת וּמוּזִיקָה.,The new hall was built for cultural and musical events.
Palestine,B1,feminine,פלסטין,פַּלֶסְטִין,falastín,ארץ במזרח התיכון,פלסטין היא נושא פוליטי רגיש.,פַּלַסְטִין הִיא נוֹשֵׂא פּוֹלִיטִי רָגִישׁ.,Palestine is a sensitive political topic.
Palestine,B2,feminine,פלשתינה,פַּלֶשְׂתִּינָה,palestína,,פלשתינה הופיעה במפות ישנות.,פַּלֶשְׂתִּינָה הוֹפִיעָה בְּמַפּוֹת יְשָׁנוֹת.,Palestine appeared on old maps.
Palestinian,B1,adjective,פלסטיני,פַּלֶסְטִינַי,falastiní,שייך לפלסטינים,הדעת הפלסטינית משפעת על השיח העולמי.,הַדַּעַת הַפַּלַסְטִינִית מְשַׁפַּעַת עַל הַשִּׂיחַ הָעוֹלָמִי.,Palestinian public opinion influences global discussions.
palm,B1,feminine,כף,כַּף,kaf,החלק הפנימי של כף היד,הוא שם את האוכל על כף היד.,הוּא שָׂם אֶת הָאוֹכֵל עַל כַּף הַיָּד.,He put the food on the palm of his hand.
paper,A1,masculine,נייר,נִיָּר,nyár,חומר דק שעליו כותבים,אני כותב על הנייר.,אֲנִי כּוֹתֵב עַל הַנְּיָיר.,I am writing on the paper.
parade,B1,masculine,מצעד,מִצְעָד,mitsád,הליכה מסודרת בטור,המצעד השנתי ממשך שעות רבות.,הַמִּצְעָד הַשְּׁנָתִי מִמְשַׁךְ שָׁעוֹת רַבּוֹת.,The annual parade lasted for many hours.
paradigm,B2,feminine,פרדיגמה,פָּרָדִיגְמָה,paradigma,,המדען הציע פרדיגמה חדשה למחקר.,הַמַּדָּעָן הִצִּיעַ פְּרָדִיגְמָה חֲדָשָׁה לְמֶחְקָר.,The scientist proposed a new paradigm for research.
paradox,B2,masculine,פרדוקס,פָּרָדוֹכְס,paradoks,,המצב יצר פרדוקס מעניין.,הַמַּצָּב יָצַר פָּרָדוֹקְס מְעַנְיֵן.,The situation created an interesting paradox.
parallel,B1,adjective,מקביל,מַקְבִּיל,makbíl,בעל אותו כיוון,הכביש הזה מקביל לנהר.,הַכְּבִישׁ הַזֶּה מַקְבִּיל לַנַּהָר.,This road is parallel to the river.
parasol,B2,feminine,שמשייה,שִׁמְשִׁיָּיה,shimshiyá,,היא ישבה בצל שמשייה גדולה.,הִיא יָשְׁבָה בַּצֵּל שֶׁל שִׁמְשִׁיָּה גְּדוֹלָה.,She sat in the shade of a large parasol.
parent,A2,masculine,הורה,הוֹרֶה,horé,אב או אם,כל הורה אוהב את הילדים שלו.,כָּל הוֹרֶה אוֹהֵב אֶת הַיְּלָדִים שֶׁלּוֹ.,Every parent loves their children.
park,B1,verb,חנה,חָנָה,ħaná,חנה עם רכב,הוא חנה בחניון הגדול ליד הקניון.,הוּא חָנָה בַּחֲנָיוֹן הַגָּדוֹל לְיַד הַקָּנְיוֹן.,He parked in the big parking lot near the mall.
park,A1,masculine,פרק,פֶּרֶק,park,שטח ירוק למשחק או בילוי,יש פארק גדול ליד הבית.,יֵשׁ פַּארְק גָּדוֹל לְיַד הַבַּיִת.,There is a big park near the house.
parking lot,B1,masculine,חניון,חֲנָיוֹן,ħanyón,שטח מוסדר להחניית רכבים,החניון מלא במכוניות.,הַחֲנָיוֹן מָלֵא בִּמְכוֹנִיּוֹת.,The parking lot is full of cars.
parliament,B1,masculine,פרלמנט,פַּרְלָמֶנְט,parlamént,בית מחוקקים,הפרלמנט מתכנס לדיון חשוב.,הַפַּרְלָמֶנְט מִתְכַּנֵּס לְדִיּוּן חָשׁוּב.,The parliament is convening for an important discussion.
"part, piece",A2,masculine,חלק,חֵלֶק,ħélek,חלק ממשהו שלם,הוא אכל חלק מהעוגה.,הוּא אָכַל חֵלֶק מֵהָעוּגָה.,He ate a part of the cake.
partial,B2,adjective,חלקי,חֶלְקִי,ħelkí,,הוא נתן רק מידע חלקי על המצב.,הוּא נָתַן רַק מֵידָע חֶלְקִי עַל הַמַּצָּב.,He gave only partial information about the situation.
"party, celebration",A2,feminine,מסיבה,מְסִיבָּה,msibá,אירוע לשמחה וריקודים,היתה מסיבה גדולה בחתונה.,הָיְתָה מְסִבָּה גְּדוֹלָה בַּחֲתוּנָּה.,There was a big party at the wedding.
"party, political party",B1,feminine,מפלגה,מִפְלָגָה,miflagá,קבוצה פוליטית,המפלגה הראשית מתחרה בבחירות.,הַמִּפְלָגָה הָרָאשִׁית מִתְחָרָה בְּבְחִירוֹת.,The main political party is competing in the elections.
Passover,A2,masculine,פסח,פֶּסַח,pésaħ,חג יהודי שבו אוכלים מצות,בפסח אין לאכול לחם.,בְּפֶסַח אֵין לֶאֱכֹל לֶחֶם.,"On Passover, one cannot eat bread."
passport,A2,masculine,דרכון,דַּרְכּוֹן,darkón,מסמך רשמי לנסיעה בין מדינות,לי יש דרכון ישראלי.,לִי יֵשׁ דַּרְכּוֹן יִשְׂרְאֵלִי.,I have an Israeli passport.
past,A2,masculine,עבר,עָבַר,avár,תקופה שהייתה בעבר,העבר שלו מסובך.,הֶעָבָר שֶׁלּוֹ מְסֻבָּךְ.,His past is complicated.
pasta,A1,feminine,פסטה,פַּסְטָה,pastá,מאכל מבושל מאטריות,הפסטה טרייה וטעימה.,הַפַּסְטָה טְרִיָּה וּטְעִימָה.,The pasta is fresh and delicious.
"paste, cream",B1,feminine,משחה,מִשְׁחָה,mishkhá,קרם רפואי או קוסמטי,אני ממריח משחה על היד כי העור יבש.,אֲנִי מַמְרִיחַ מִשְׁחָה עַל הַיָּד כִּי הָעוֹר יָבֵשׁ.,I apply cream on my hand because my skin is dry.
pastry,A2,masculine,מאפה,מַאֲפֶה,maafé,מאפה מתוק או מלוח,המאפה עשוי מקמח וחמאה.,הַמַּאֲפֶה עָשׂוּי מִקֶּמַח וְחָמְאָה.,The pastry is made of flour and butter.
"path, way, trail",A2,masculine,שביל,שְׁבִיל,sh'víl,שביל או דרך צרה,השביל הזה מוביל ליער.,הַשְּׁבִיל הַזֶּה מוֹבִיל לַיַּעַר.,This path leads to the forest.
patience,B1,feminine,סבלנות,סַבְלָנוּת,savlanút,יכולת להמתין בסבלנות,סבלנות היא מידה חשובה בחיים.,סַבְלָנוּת הִיא מִדָּה חֲשׁוּבָה בְּחַיִּים.,Patience is an important quality in life.
patient,B1,adjective,סבלני,סַבְלָנִי,savlaní,בעל תכונת סבלנות,הוא אדם סבלני ותמיד מקשיב לאחרים.,הוּא אָדָם סַבְלָנִי וְתָמִיד מַקְשִׁיב לַאֲחֵרִים.,He is a patient person and always listens to others.
patient,B2,masculine,מטופל,מְטוּפָּל,mtupál,,הרופא בדק את המטופל החדש.,הָרוֹפֵא בָּדַק אֶת הַמְּטוּפָּל הֶחָדָשׁ.,The doctor examined the new patient.
"pay attention, notice",A2,verb,"שם לב",שָׂם לֵב,sam lev,שם לב לדבר מה,תשים לב למילים שהוא אומר.,תִּשְׂים לֵב לִמִּלִּים שֶׁהוּא אוֹמֵר.,Pay attention to the words he is saying.
"pay, make peace",A2,verb,שילם,שִׁילֵּם,shilém,העביר כסף עבור דבר או יצר שלום,הוא שילם על הארוחה.,הוּא שִׁילֵּם עַל הָאֲרוּחָה.,He paid for the meal.
payment,A2,masculine,תשלום,תַּשְׁלוּם,tashlúm,מתן כסף בעבור דבר או שירות,הוא שילם את התשלום בכרטיס אשראי.,הוּא שִׁילֵּם אֶת הַתַּשְׁלוּם בְּכַּרְטִיס אַשְׁרַאי.,He paid the payment with a credit card.
peace,A2,masculine,שלום,שָׁלוֹם,shalóm,מצב ללא מלחמה,העולם צריך שלום יותר ממלחמות.,הָעוֹלָם צָרִיךְ שָׁלוֹם יוֹתֵר מִמִּלְחָמוֹת.,The world needs peace more than wars.
peaceful,B1,adjective,שלו,שָׁלוֹו,shálev,שקט ונינוח,הכפר הזה שליו ומרגיע.,הַכְּפָר הַזֶּה שָׁלֵו וּמַרְגִּיעַ.,This village is peaceful and calming.
peanut,A2,masculine,בוטן,בּוֹטֶן,bóten,קטנית אכילה קטנה,אני אוהב בטנים קלויים.,אֲנִי אוֹהֵב בָּטְנִים קָלוּיִים.,I love roasted peanuts.
peanut butter,B1,feminine,חמאת בוטנים,חֶמְאַת בּוֹטְנִים,ħemát botním,ממרח עשוי מבוטנים,אני אוהב לאכול לחם עם חמאת בוטנים.,אֲנִי אוֹהֵב לֶאֱכֹל לֶחֶם עִם חֶמְאַת בֹּטְנִים.,I like to eat bread with peanut butter.
pear,A1,masculine,אגס,אַגָּס,agás,פרי קטן ירוק או צהוב ומתוק,האגס טעים.,הָאַגָּס טָעִים.,The pear is tasty.
"peasant, farmer",B2,masculine,איכר,אִכָּר,ikár,עובד אדמה פשוט,האיכר חרש את השדה עם הסוס שלו.,הָאִכָּר חָרַשׁ אֶת הַשָּׂדֶה עִם הַסּוּס שֶׁלּוֹ.,The peasant plowed the field with his horse.
pen,A1,masculine,עט,עֵט,et,כלי לכתיבה עם דיו,אני כותב בעט כחול.,אֲנִי כּוֹתֵב בְּעֵט כָּחוֹל.,I write with a blue pen.
pen name,B2,masculine,שם עט,שֵׁם עֵט,shem et,,הסופר השתמש בשם עט בספרו.,הַסּוֹפֵר הִשְׁתַּמֵּשׁ בְּשֵׁם עֵט בְּסִפְרוֹ.,The author used a pen name in his book.
peninsula,B2,masculine,חצי אי,חֲצִי אִי,ħatsíi,,חצי האי סיני נמצא בין מצרים לישראל.,חֲצִי הָאִי סִינַי נִמְצָא בֵּין מִצְרַיִם לְיִשְׂרָאֵל.,The Sinai Peninsula lies between Egypt and Israel.
penis,B2,masculine,פין,פִּין,pin,,הרופא הסביר על מבנה הפין.,הָרוֹפֵא הִסְבִּיר עַל מִבְנֵה הַפִּין.,The doctor explained the structure of the penis.
pentagon,B2,masculine,מחומש,מְחוּמָּשׁ,mħumásh,,הצורה גיאומטרית נראתה כמו מחומש.,הַצּוּרָה הַגֵּיאוֹמֶטְרִית נִרְאֲתָה כְּמוֹ מְחוּמָּשׁ.,The geometric shape looked like a pentagon.
pepper,A1,masculine,פלפל,פִּלְפֵּל,pilpel,ירק חריף או תבלין,אני אוהב לשים פלפל בסלט.,אֲנִי אוֹהֵב לָשִׂים פִּלְפֵּל בָּסָלָט.,I like to put pepper in the salad.
perfect,B1,adjective,מושלם,מוּשְׁלָם,mushlám,בעל שלמות,היום היה מושלם מתחילתו.,הַיּוֹם הָיָה מֻשְׁלָם מִתְּחִלָּתוֹ.,Today was perfect from start to finish.
perfection,B2,feminine,שלמות,שְׁלֵמוּת,shlemút,,השלמות היא ערך קשה להשגה.,הַשְּׁלֵמוּת הִיא עֵרֶךְ קָשֶׁה לְהַשִּׂיג.,Perfection is a value hard to achieve.
"perhaps, maybe",B2,,יתכן,יִתָּכֵן,yitaħén,,יתכן שהם לא יגיעו בזמן.,יִתָּכֵן שֶׁהֵם לֹא יַגִּיעוּ בַּזְּמַן.,Perhaps they will not arrive on time.
"period, era",A2,feminine,תקופה,תְּקוּפָה,tkufá,פרק זמן בהיסטוריה,היתה תקופה קשה בחיים שלי.,הָיְתָה תְּקוּפָה קָשָׁה בַּחַיִּים שֶׁלִּי.,It was a difficult period in my life.
periodic,B2,adjective,מחזורי,מַחְזוֹרִי,makhzorí,,העיתון יוצא לאור במחזורי קבוע.,הָעִיתּוֹן יוֹצֵא לָאוֹר בְּמַחְזוֹרִים קְבוּעִים.,The newspaper is published at regular intervals.
perpetual,B2,adjective,תמידי,תָּמִידִי,tmidi,,הוא חי בפחד תמידי מאובדן.,הוּא חַי בְּפַחַד תָּמִידִי מֵאוֹבְדָן.,He lived in constant fear of loss.
"person, human",A1,masculine,אדם,אָדָם,adám,יצור אנושי,אדם הולך ברחוב.,אָדָם הוֹלֵךְ בָּרְחוֹב.,A person is walking on the street.
"personal, private",B1,adjective,אישי,אִישִׁי,ishí,שייך לאדם באופן אישי,כל אחד יש לו חיים אישיים ופרטיים.,כָּל אֶחָד יֵשׁ לוֹ חַיִּים אִישִׁיִּים וּפְרָטִיִּים.,Everyone has their own personal and private life.
personality,B2,feminine,אישיות,אִישִׁיּוּת,ishiyút,תכונותיו של אדם,לאישיות הכריזמטית שלו הייתה השפעה רבה על תלמידיו.,לָאִישִׁיּוּת הַכָּרִיזְמָטִית שֶׁלּוֹ הָיְתָה הַשְׁפָּעָה רַבָּה עַל תַּלְמִידָיו.,His charismatic personality had great influence on his students.
pet,A2,feminine,חיית מחמד,חַיַּת מַחְמָד,ħayát maħmád,חיה שאנשים מגדלים להנאה,הילד אוהב את חיית מחמד שלו.,הַיֶּלֶד אוֹהֵב אֶת הַחַיַּת מַחְמָד שֶׁלוֹ.,The child loves his pet.
pharmacy,A2,masculine,בית מרקחת,בֵּית מִרְקַחַת,béit mirkáħat,חנות לתרופות,הלכנו לבית המרקחת לקנות תרופה.,הָלַכְנוּ לְבֵית הַמִּרְקַחַת לִקְנוֹת תְּרוּפָה.,We went to the pharmacy to buy medicine.
philosopher,B1,masculine,פילוסוף,פִּילוֹסוֹף,filosóf,הוגה דעות,הפילוסוף היה מחשב דברים עמוקים.,הַפִּילוֹסוֹף הָיָה מְחַשֵּׁב דְּבָרִים עֲמֻקִּים.,The philosopher was contemplating deep thoughts.
philosophical,B1,adjective,פילוסופי,פִּילוֹסוֹפִי,filosofi,קשור לפילוסופיה,השיחה היתה על נושא פילוסופי.,הַשִּׁיחָה הָיְתָה עַל נוֹשֵׂא פִּילוֹסוֹפִי.,The conversation was on a philosophical topic.
philosophy,B1,feminine,פילוסופיה,פִּילוֹסוֹפְיָה,filosofia,חכמת חיים ותיאוריה,הפילוסופיה שלו מעניינת ומורכבת.,הַפִּילוֹסוֹפְיָה שֶׁלּוֹ מְעַנְיֶינֶת וְמוֹרְכֶּבֶת.,His philosophy is interesting and complex.
phoenix,B2,masculine,עוף חול,עוֹף חוֹל,of ħol,,האגדה מספרת על עוף חול שקם לתחייה.,הָאַגָּדָה מְסַפֶּרֶת עַל עוֹף חוֹל שֶׁקָּם לִתְחִיָּיה.,The legend tells of a phoenix that rose to life again.
photograph,B2,masculine,תצלום,תְּצִלוּם,tatslúm,,האלבום כלל תצלום נדיר של המשפחה.,הָאַלְבּוֹם כָּלַל תַּצְלוּם נָדִיר שֶׁל הַמִּשְׁפָּחָה.,The album included a rare photograph of the family.
photographer,B1,masculine,צלם,צָלָם,tsalám,מי שמצלם,הצלם צילם נופים יפהפיים.,הַצַּלָּם צִלֵּם נוֹפִים יְפֵהפִיִּים.,The photographer took beautiful landscape pictures.
physical education,B2,masculine,חינוך גופני,חִנּוּךְ גּוּפָנִי,ħinúħ gufaní,,שיעור חינוך גופני נערך פעמיים בשבוע.,שִׁעוּר חִינוּךְ גּוּפָנִי נֶעֱרַךְ פַּעֲמַיִם בַּשָּׁבוּעַ.,Physical education class is held twice a week.
physics,A2,feminine,פיזיקה,פִּיזִיקָה,fiziká,מדע חוקי הטבע,הוא לומד פיזיקה למבחן.,הוּא לוֹמֵד פִּיזִיקָה לַמִּבְחָן.,He is studying physics for the exam.
piano,A2,masculine,פסנתר,פְּסַנְתֵּר,psantér,כלי נגינה עם קלידים,היא לומדת לנגן בפסנתר.,הִיא לוֹמֶדֶת לְנַגֵּן בְּפַסְנָתֵר.,She is learning to play the piano.
"picture, photo",A1,feminine,תמונה,תְּמוּנָה,tmuná,דמות מצוירת או מצולמת,התמונה על השולחן.,הַתְּמוּנָה עַל הַשֻּׁלְחָן.,The picture is on the table.
piece,A2,feminine,חתיכה,חֲתִיכָה,ħatiħá,חלק קטן ממשהו,זה חתיכה מהפיצה.,זֶה חֲתִיכָה מֵהַפִּצָּה.,This is a slice of pizza.
pig,A2,masculine,חזיר,חֲזִיר,ħazír,חיית משק שאוכלים את בשרה,החזיר שכב בחצר.,הַחֲזִיר שָׁכַב בַּחָצֵר.,The pig lay in the yard.
pill,B2,feminine,גלולה,גְּלוּלָה,glulá,כדור תרופה,הרופא המליץ לקחת גלולה אחת ביום.,הָרוֹפֵא הִמְלִיץ לָקַחַת גְּלוּלָה אַחַת בַּיּוֹם.,The doctor recommended taking one pill per day.
pilot,B1,masculine,טייס,טַיָּס,tayás,מי שמטיס מטוס,הטייס טס למקומות רחוקים.,הַטַּיָּס טָס לְמְקוֹמוֹת רְחוֹקִים.,The pilot flies to distant places.
pirate,B2,masculine,שודד ים,שׁוֹדֵד יָם,shodéd yam,,שודדי ים תקפו אונייה עתיקה.,שׁוֹדְדֵי יָם תָּקְפוּ אוֹנִיָּה עֲתִיקָה.,Pirates attacked an ancient ship.
pizza,A1,feminine,פיצה‎,פִּיצָה,pítsa,מאפה עגול עם גבינה ורוטב,הפיצה חמה ומתוקה.,הַפִּיצָּה חַמָּה וּמְתוּקָה.,The pizza is hot and sweet.
place,A1,masculine,מקום,מָקוֹם,makóm,שטח או אזור מסוים,זה מקום יפה מאוד.,זֶה מָקוֹם יָפֶה מְאוֹד.,This is a very beautiful place.
plague,B2,masculine,דבר,דָּבָר,déver,מחלה מדבקת קשה,הדבר התפשט בימי הבינונים וגרם למות רבים.,הַדֶּבֶר הִתְפַּשֵּׁט בְּיָמֵי הַבֵּינוֹנַיִם וְגָרַם לְמוֹת רַבִּים.,The plague spread during the Middle Ages and caused many deaths.
