English,CEFR,gender,word,wordAudio,pronunciation,transliteration,definition,sentenceAudio,example,sentenceTranslation
microwave,A2,masculine,מיקרוגל,X,מִיקְרוֹגַּל,mikrogal,מכשיר חשמלי לחימום מהיר,,אנחנו מחממים את האוכל במיקרוגל.,We heat the food in the microwave.
death,B2,feminine,מיתה,,מִיתָה,mitá,,,המיתה של הדמות בסיפור הייתה טרגית.,The death of the character in the story was tragic.
mythology,B2,feminine,מיתולוגיה,,מִיתוֹלוֹגְיָה,mitologia,,,הסטודנטית למדה מיתולוגיה יוונית.,The student studied Greek mythology.
hit,A2,feminine,מכה,X,מַכָּה,maká,מכה פיזית בגוף או חפץ,,הילד נפל וקיבל מכה בברך.,The boy fell and got a hit on his knee.
grocery store,A2,feminine,מכולת,X,מַכּוֹלֶת,makólet,חנות קטנה לשכונה,,אני קונה חלב במכולת.,I'm buying milk at the grocery store.
machine,A2,feminine,מכונה,X,מְכוֹנָה,meħoná,מכשיר המבצע פעולה,,המכונה עובדת ללא תקלות.,The machine is working without problems.
car,A1,feminine,מכונית,X,מְכוֹנִית,mħonít,כלי תחבורה בעל ארבעה גלגלים,X,המכונית שלי כחולה.,My car is blue.
electric shaver,B2,feminine,מכונת גילוח,,מְכוֹנַת גִּלוּחַ,meħonát gilúaħ,,,הוא קנה מכונת גילוח חדשה.,He bought a new electric shaver.
washing machine,A2,feminine,מכונת כביסה,X,מְכוֹנַת כְּבִיסָה,meħonát kvisá,מכשיר לניקוי בגדים,,היא כיבסה את הבגדים במכונת הכביסה.,She washed the clothes in the washing machine.
typewriter,B2,feminine,מכונת כתיבה,,מְכוֹנַת כְּתִיבָה,meħonát ktivá,,,המוזיאון מציג מכונת כתיבה עתיקה.,The museum displays an ancient typewriter.
ugly,B1,adjective,מכוער,,מְכוֹעָר,mħoár,שאינו יפה,,הבנין הזה ישן ומכוער.,This building is old and ugly.
container,B1,masculine,מכל,,מִכָּל,mħál,כלי קיבול גדול,,המכל הזה מלא במים.,This container is full of water.
college,B1,feminine,מכללה,,מִכְלָלָה,miħlalá,מוסד להשכלה גבוהה,,הוא למד במכללה ידועה.,He studied at a well-known college.
sell,A2,verb,מכר,X,מָכַר,makhár,מכר דבר תמורת כסף,,הוא מכר את הרכב הישן.,He sold the old car.
sale,C,masculine,מכר,,מָכַר,mécher,מכירת חפץ או סחורה,,המדינה הרוויחה כסף רב ממכר האדמות.,The state earned much money from the sale of lands.
sorcerer,B2,masculine,מכשף,,מְכַשֵּׁף,mħashéf,,,הכפריים האמינו שמכשף גר ביער.,The villagers believed that a sorcerer lived in the forest.
witch,B2,feminine,מכשפה,,מְכַשֵּׁפָה,mħashefá,,,המכשפה הופיעה באגדה עם מטאטא מעופף.,The witch appeared in the tale with a flying broom.
"letter, correspondence",A1,masculine,מכתב,X,מִכְתָּב,miħtáv,מסר כתוב על נייר,X,כתבתי מכתב לחבר.,I wrote a letter to my friend.
"full, whole",A2,adjective,מלא,X,מָלֵא,malé,"שאינו חסר, במלואו",,המשקאים מלאים בכוסות.,The drinks are full in the glasses.
salty,A2,adjective,מלוח,X,מָלוּחַ,malúaħ,בעל טעם של מלח,,האכל מלוח מאוד.,The food is very salty.
dirty,A2,adjective,מלוכלך,X,מְלוּכְלָךְ,mluħláħ,שאינו נקי,,"החדר מלוכלך, צריך לנקותו.","The room is dirty, it needs to be cleaned."
dictionary,A1,masculine,מלון,X,מָלוֹן,milón,ספר המכיל פירושי מילים,X,המילון נחוץ לי.,I need the dictionary.
hotel,A1,masculine,מלון,X,מָלוֹן,malón,מבנה לשהיית אורחים בתשלום,X,המלון גדול ויפה.,The hotel is big and beautiful.
melon,A2,masculine,מלון,X,מָלוֹן,melon,פרי גדול עגול מתוק,,הוא אכל מלון בבוקר.,He ate melon in the morning.
salt,A1,masculine,מלח,X,מֶלַח,mélaħ,חומר המשמש לתיבול,X,שמתי מלח במרק.,I put salt in the soup.
sailor,B2,masculine,מלחא,,מֶלַחָא,malaħa,,,המלח ירד לחוף לאחר מסע ארוך.,The sailor went ashore after a long voyage.
war,A2,feminine,מלחמה,X,מִלְחָמָה,milħamá,עימות בין מדינות או קבוצות,,המלחמה היתה ארוכה וקשה.,The war was long and difficult.
interpreter,C,masculine,מליץ,,מֵלִיץ,melitz,מי שמסביר ומפרש לאחר,,המליץ הסביר את המסר בשפה פשוטה.,The interpreter explained the message in simple language.
king,A1,masculine,מלך,X,מֶלֶךְ,méleħ,שליט גבר,X,המלך ישב על הכסא.,The king sat on the chair.
queen,A1,feminine,מלכה,X,מַלְכָּה,malká,שליטה אישה,X,המלכה חכמה.,The queen is wise.
dimension,B2,masculine,ממד,,מֵימָד,memád,,,הספר הציע ממד חדש להבנת ההיסטוריה.,The book offered a new dimension to understanding history.
"average, mean",B1,masculine,ממוצע,,מְמוּצָע,mimutsá,מספר ממוצע של נתונים,,הממוצע במבחן היה גבוה.,The average score on the test was high.
kingdom,B1,feminine,ממלכה,,מַמְלָכָה,mamlaħá,מדינה הנשלטת על ידי מלך,,הממלכה היתה גדולה וחזקה.,The kingdom was large and powerful.
inventor,B2,masculine,ממציא,,מַמְצִיא,mamtsí,,,הממציא רשם פטנט על ההמצאה שלו.,The inventor registered a patent for his invention.
really,A2,adverb,ממש,X,מַמָּשׁ,mamásh,"באמת, באופן מוחלט",,הסרט הזה ממש מעניין.,This movie is really interesting.
government,A2,feminine,ממשלה,X,מֶמְשָׁלָה,memshalá,קבוצת השלטון במדינה,,הממשלה חלטה להוריד מיסים.,The government decided to lower taxes.
governmental,B2,adjective,ממשלתי,,מֶמְשַׁלְתִּי,memshaltí,,,הסיוע הממשלתי עזר לעסקים קטנים.,Government aid helped small businesses.
custom,B1,masculine,מנהג,,מִנְהָג,minhág,מנהג שחוזרים עליו,,המנהג הזה משותף לרבים.,This custom is shared by many.
leader,B1,masculine,מנהיג,,מַנְהִיג,manhíg,מי שמוביל אנשים,,המנהיג הוליך את העם בביטחון.,The leader guided the people with confidence.
leadership,B2,feminine,מנהיגות,,מַנְהִיגוּת,manhigút,,,הנאום עסק בחשיבות המנהיגות.,The speech dealt with the importance of leadership.
rest,B2,masculine,מנוח,,מָנוֹחַ,manóaħ,,,המנוח היה דמות מוכרת בקהילה.,The late man was a well-known figure in the community.
engine,B1,masculine,מנוע,,מָנוֹעַ,manóa,מנוע מכני,,מנוע המכונית חיזק את הבניין.,The car engine strengthened the structure.
search engine,B2,masculine,מנוע חיפוש,,מָנוֹעַ חִפּוּשׂ,mnóa ħipús,,,הוא חיפש תשובה דרך מנוע חיפוש.,He searched for an answer through a search engine.
"lamp, light",A2,feminine,מנורה,X,מְנוֹרָה,mnorá,כלי שמאיר בחשמל או בשמן,,המנורה דולקת בחדר.,The lamp is on in the room.
"share, stock",B2,feminine,מניה,,מַנְיָה,mnaya,,,המניה עלתה בערכה בחדות.,The stock rose sharply in value.
lock,B1,masculine,מנעול,,מַנְעוּל,manúl,מכשיר לסגירה,,המנעול עשוי מברזל חזק.,The lock is made of strong iron.
"conductor, winner",B2,masculine,מנצח,,מְנַצֵּחַ,mnatséaħ,,,המנצח הוביל את התזמורת ביצירה מורכבת.,The conductor led the orchestra in a complex piece.
"surgeon, analyst",B2,masculine,מנתח,,מְנַתֵּחַ,mnatéaħ,,,המנתח ביצע ניתוח עדין במוח.,The surgeon performed a delicate brain surgery.
tax,B1,masculine,מס,,מַס,mas,כסף שניתן למדינה כחובה,,כל אזרח חייב לשלם מס למדינה.,Every citizen must pay tax to the state.
tradition,A2,feminine,מסורת,X,מָסוֹרֶת,masóret,מנהג שעובר מדור לדור,,המסורת מעבירה סיפורים דור לדור.,The tradition passes stories from generation to generation.
traditional,B1,adjective,מסורתי,,מָסוֹרְתִּי,masortí,שייך למסורת,,החתונה היתה באופן מסורתי.,The wedding was conducted in a traditional way.
"commerce, trade",B1,masculine,מסחר,,מִסְחָר,misħár,פעילות כלכלית של קנייה ומכירה,,המסחר בעולם גדל משנה לשנה.,Trade in the world is growing year by year.
"commercial, trade",B2,adjective,מסחרי,,מִסְחָרִי,misħarí,,,המרכז מסחרי מושך קונים רבים.,The shopping center attracts many buyers.
"party, celebration",A2,feminine,מסיבה,X,מְסִיבָּה,msibá,אירוע לשמחה וריקודים,,היתה מסיבה גדולה בחתונה.,There was a big party at the wedding.
surprise party,B2,feminine,מסיבת הפתעה,,מְסִבַּת הַפְתָּעָה,msibát haftaá,,,החברים הפתיעו אותה במסיבת הפתעה.,The friends surprised her with a surprise party.
"poor, unfortunate",A2,adjective,מסכן,X,מִסְכֵּן,miskén,אדם שאין לו מזל או נמצא בצרה,,הנער המסכן חולם על בית גדול.,The poor boy dreams of a big house.
"deed, document",B2,masculine,מסמך‎,,מִסְמָךְ,mismáħ,,,המסמך נחתם על ידי שני הצדדים.,The document was signed by both parties.
restaurant,A1,feminine,מסעדה,X,מִסְעָדָה,misadá,מקום שבו מגישים מזון בתשלום,X,המסעדה מלאה בנשים ואנשים.,The restaurant is full of men and women.
enough,A2,,מספיק,X,מַסְפִּיק,maspík,במידה מספקת,,"זה מספיק לי, איני רוצה עוד.","That’s enough for me, I don’t want more."
number,A1,masculine,מספר,X,מִסְפָּר,mispár,סימן מתמטי או סדרתי,X,מה המספר שלך?,What is your number?
text message,A2,masculine,מסרון,X,מִסְרוֹן,misrón,מסר קצר שנשלח בטלפון,,הוא שלח לי מסרון בבוקר.,He sent me a text message in the morning.
laboratory,B1,feminine,מעבדה,,מַעֲבָדָה,mabadá,מקום לניסויים מדעיים,,המעבדה מציעה ניסויים משוכללים.,The laboratory offers advanced experiments.
transition,B1,masculine,מעבר,,מַעֲבָר,maavár,מעבר ממקום למקום,,המעבר מבית הספר לאוניברסיטה הוא אתגר.,The transition from school to university is a challenge.
pregnant,B2,adjective,מעוברת,,מְעוּבֶּרֶת,miubéret,,,האישה המעוברת נחוֹת בבית החולים.,The pregnant woman rested in the hospital.
interested,B1,adjective,מעוניין,,מְעוּנְיָין,miunyan,בעל עניין במשהו,,הספרן מעוניין בנתונים חדשים.,The researcher is interested in new data.
cloudy,A2,adjective,מעונן,X,מְעוּנָן,miunán,שמכוסה בעננים,,היום השמים מעוננים.,The sky is cloudy today.
few,A2,adjective,מעט,X,מְעַט,miát,"לא רבים, מספר קטן",,יש לי רק מעט כסף.,I have only a little money.
coat,A2,masculine,מעיל,X,מְעִיל,meíl,בגד עבה לחורף,,בחורף אני לובש מעיל עבה.,"In winter, I wear a thick coat."
offensive,B2,verb,מעליב,,מַעֲלִיב,ma'alív,,,המשפט מעליב גרם לו לעזוב.,The offensive remark made him leave.
elevator,A2,feminine,מעלית,X,מַעֲלִית,maalít,מכשיר להרמת אנשים בין קומות,,המעלית נתקעה בקומה השלישית.,The elevator got stuck on the third floor.
interesting,A2,masculine,מעניין,X,מְעַנְיֵן,mianyén,מעורר עניין,,הספר הזה מעניין מאוד.,This book is very interesting.
west,A1,masculine,מערב,X,מַעֲרָב,maaráv,אזור בעולם מול מזרח,X,השמש שוקעת במערב.,The sun sets in the west.
western,A2,adjective,מערבי,X,מַעֲרָבִי,maaraví,שייך למערב,,האנשים במערב אוהבים קפה.,People in the West love coffee.
cave,B1,feminine,מערה,,מְעָרָה,miará,חלל טבעי בהר או באדמה,,יש מערות רבות בהרים.,There are many caves in the mountains.
"system, set",B1,feminine,מערכת,,מַעֲרֶכֶת,maaréħet,קבוצה של חלקים הפועלים יחד,,המערכת במחשב חשובה להפעלת התוכנה.,The system in the computer is important for running the software.
operating system,B2,feminine,מערכת הפעלה,,מַעֲרֶכֶת הַפְעָלָה,maaréħet hafalá,,,מערכת ההפעלה עודכנה לגרסה חדשה.,The operating system was updated to a new version.
relationship,B1,feminine,מערכת יחסים,,מַעֲרֶכֶת יַחֲסִים,maaréħet yáħas,קשר בין אנשים,,המערכת יחסים שלהם מסובכת.,Their relationship is complicated.
information system,B2,feminine,מערכת מידע,,מַעֲרֶכֶת מֵידָע,maaréħet meidá,,,מערכת המידע מנהלת את כל הנתונים.,The information system manages all the data.
solar system,B1,feminine,מערכת שמש,,מַעֲרֶכֶת שֶׁמֶשׁ,maaréħet shémesh,מערכת כוכבים מסביב לשמש,,המערכת שמש כוללת כמה כוכבים.,The solar system includes several planets.
fairy tale,B2,feminine,מעשייה,,מַעֲשִׂיָּיה,maasiyá,,,המעשייה סופרה ליד האח הבוערת.,The fairy tale was told by the burning fireplace.
map,A1,feminine,מפה,X,מַפָּה,mapá,שרטוט של שטח גאוגרפי,X,זאת מפה של ישראל.,This is a map of Israel.
from here,A2,adverb,מפה,X,מַפָּה,mipó,מהמקום הזה,,אנחנו הולכים מפה לתחנה.,We are walking from here to the station.
detailed,B2,adjective,מפורט,,מְפוֹרָט,mforát,,,התיאור היה מפורט וברור.,The description was detailed and clear.
famous,A2,masculine,מפורסם,X,מְפוּרְסָם,mfursám,מי שידוע לרבים,,השחקן הזה מפורסם בכל העולם.,This actor is famous all over the world.
scary,A2,adjective,מפחיד,X,מַפְחִיד,mafħíd,מעורר פחד,,הסרט הזה ממש מפחיד!,This movie is really scary!
napkin,A2,feminine,מפית,X,מַפִּית,mapít,חתיכת נייר לניגוב,,שים מפית על הבגד שלך.,Put a napkin on your clothes.
"party, political party",B1,feminine,מפלגה,,מִפְלָגָה,miflagá,קבוצה פוליטית,,המפלגה הראשית מתחרה בבחירות.,The main political party is competing in the elections.
loser,B2,masculine,מפסידן,,מַפְסִידָן,mafsidán,,,המפסידן לא קיבל את הכישלון בהבנה.,The loser did not accept failure with understanding.
factory,A2,masculine,מפעל,X,מִפְעָל,mifál,מקום לייצור מוצרים,,המפעל נסגר בחמש.,The factory closes at five.
tablecloth,B1,feminine,מפת שולחן,,מַפַּת שֻׁלְחָן,mapát shulkhán,כיסוי לשולחן,,היא שמה מפת שולחן חדשה לפני האוכל.,She put a new tablecloth before the meal.
key,A1,masculine,מפתח,X,מַפְתֵּחַ,maftéaħ,חפץ לפתיחת מנעולים,X,היא לקחה את המפתח.,She took the key.
find,A2,verb,מצא,X,מָצָא,matsá,גילה או מצא דבר,,הוא מצא מפתח ברחוב.,He found a key in the street.
"situation, status",A2,masculine,מצב,X,מַצָּב,matsáv,מצב נתון שבו נמצאים,,המצב בארץ לא קל.,The situation in the country is not easy.
"matzah, matzo",B1,feminine,מצה,,מַצָּה,matsá,לחם שטוח נאפה לפסח,,בפסח אנו אוכלים מצות.,"On Passover, we eat matzah."
commandment,B2,feminine,מצווה,,מִצְוָה,mitsvá,,,המצווה מחייבת עזרה לחלשים.,The commandment requires helping the weak.
funny,A2,adjective,מצחיק,X,מַצְחִיק,matskhík,מעורר צחוק,,הסרט הזה ממש מצחיק!,This movie is really funny!
reality,B1,feminine,מציאות,,מְצִיאוּת,mtsiút,מה שקיים במציאות,,המציאות לא תמיד כמו שאנו חושבים.,Reality is not always as we think.
camera,A2,feminine,מצלמה,X,מַצְלֵמָה,matslemá,מכשיר לצילום תמונות,,קניתי מצלמה חדשה.,I bought a new camera.
parade,B1,masculine,מצעד,,מִצְעָד,mitsád,הליכה מסודרת בטור,,המצעד השנתי ממשך שעות רבות.,The annual parade lasted for many hours.
pride parade,B2,masculine,מצעד הגאווה,,מִצְעַד הַגַּאֲוָה,mitsád hagaavá,,,מצעד הגאווה נערך במרכז העיר.,The Pride Parade was held in the city center.
Egyptian,A2,adjective,מצרי,X,מִצְרִי,mitsrí,שייך למצרים,,הסוחרים המצרים מכרו תוצרות.,The Egyptian merchants sold goods.
Egypt,A1,feminine,מצרים,X,מִצְרַיִם,mitsráyim,מדינה בצפון אפריקה,X,מצרים היא מדינה באפריקה.,Egypt is a country in Africa.
parallel,B1,adjective,מקביל,,מַקְבִּיל,makbíl,בעל אותו כיוון,,הכביש הזה מקביל לנהר.,This road is parallel to the river.
coefficient,C,masculine,מקדם,,מְקַדֵּם,mekadém,מספר שמוכפל בנוסחה,,המשוואה כללה מקדם מורכב.,The equation included a complex coefficient.
"accepted, normal",B1,masculine,מקובל,,מְקוּבָּל,mkubál,מה שמקובל בחברה,,זה מקובל לתת מתנה ביום הלדת.,It is accepted to give a gift on a birthday.
place,A1,masculine,מקום,X,מָקוֹם,makóm,שטח או אזור מסוים,X,זה מקום יפה מאוד.,This is a very beautiful place.
local,A2,masculine,מקומי,X,מְקוֹמִי,mkomí,מתוך אותו מקום או אזור,,הוא אוהב את היין המקומי.,He loves the local wine.
shower,A1,feminine,מקלחת,X,מִקְלַחַת,mikláħat,חדר לרחצה,X,אני הולך למקלחת.,I'm going to the shower.
"shelter, refuge",B1,masculine,מקלט,,מִקְלָט,miklát,מקום מסתור בטוח,,בעיר יש מקלטים למקרי חירום.,The city has shelters for emergencies.
charming,B1,adjective,מקסים,,מַקְסִים,maksím,נעים ומלא קסם,,הנוף בעיר הזאת מקסים בעיקרו בקיץ.,"The view in this city is charming, especially in the summer."
maximal,B1,adjective,מקסימלי,,מַקְסִימָלִי,maksimáli,במידה המרבית האפשרית,,הוא רוצה להגיע לתוצאה המקסימלית.,He wants to achieve the maximal result.
subject,A2,masculine,מקצוע,X,מִקְצוֹעַ,miktsóa,תחום לימוד או עיסוק,,הנושא בשיחה היה מעניין.,The subject of the conversation was interesting.
verse,B2,masculine,מקרא,,מִקְרָא,mikrá,,,הפסוק במקרא שימש השראה לנאום.,The verse in the Scriptures served as inspiration for the speech.
"event, occurrence",B1,masculine,מקרה,,מִקְרֶה,mikré,מקרה שקרה או התרחש,,זה היה מקרה מיוחד ומופתע.,It was a special and surprising event.
"fridge, redrigerator",A1,masculine,מקרר,X,מְקָרֵר,m'karér,מכשיר לקירור מזון,X,יש לי מקרר חדש.,I have a new refrigerator.
Mr.,A1,masculine,מר,X,מָר,mar,תואר נימוס לפנייה לגבר,X,מר שלום גר בירושלים.,Mr. Shalom lives in Jerusalem.
bitter,B2,adjective,מר,,מַר,mar,,,האוכל הזה מר מדי לטעמי.,This food is too bitter for my taste.
"sight, appearance",B1,masculine,מראה,,מַרְאָה,maré,המראה החיצוני של דבר,,המראה שלה היתה מיוחדת ויפה.,Her appearance was unique and beautiful.
maximum,B2,masculine,מרב,,מֶרֶב,merav,,,המרב שניתן להשיג בתחרות הוא עשר נקודות.,The maximum that can be achieved in the competition is ten points.
spy,B1,masculine,מרגל,,מְרַגֵּל,meragel,אדם שמרגל בסתר,,המרגל עבד בשביל הממשלה.,The spy worked for the government.
concentrated,B1,adjective,מרוכז,,מְרוּכָּז,m'rukáz,מרוכז בדבר אחד,,התלמיד היה מרוכז במבחן.,The student was concentrated on the exam.
bitter herbs,B2,masculine,מרור,,מָרוֹר,marór,,,הם אכלו מרור כחלק מהסדר.,They ate bitter herbs as part of the Seder.
"space, area",B1,masculine,מרחב,,מֶרְחָב,merħáv,שטח פתוח או אזור,,המרחב באולם גדול מאוד.,The space in the hall is very large.
bathhouse,B2,masculine,מרחץ,,מֶרְחָץ,merħáts,,,במרחץ היה חם ומרגיע.,The bathhouse was hot and relaxing.
distance,B1,masculine,מרחק,,מֶרְחָק,merħák,המרחק בין שני מקומות,,המרחק בין הערים גדול.,The distance between the cities is great.
carriage,B2,,מרכבה,,מֶרְכָּבָה,merkavá,,,המרכבה העתיקה הוצגה במוזיאון.,The ancient chariot was displayed in the museum.
center,A2,masculine,מרכז,X,מֶרְכָּז,merkáz,אזור עיקרי שבו מתרכזים דברים,,במרכז יש חנויות רבות.,There are many shops in the center.
central,A2,masculine,מרכזי,X,מֶרְכָּזִי,merkazí,שייך למרכז,,העיר הזאת היא מרכזית במדינה.,This city is central in the country.
March,A1,masculine,מרץ,X,מֶרְץ,merts,החודש השלישי בלוח השנה הלועזי,X,מרץ הוא חודש באביב.,March is a spring month.
energy,B2,masculine,מרץ,,מֶרְץ,mérets,,,המרץ של הילד הדהים את כולם.,The child’s energy amazed everyone.
soup,A1,masculine,מרק,X,מָרָק,marák,נוזל חם המאכל,X,אני אוהב מרק חם.,I like hot soup.
impressive,B2,adjective,מרשים,,מְרַשִּׁים,marshím,,,הנאום המרשים זכה לתשואות רבות.,The impressive speech received much applause.
prescription,B2,masculine,מרשם,,מִרְשָׁם,mirshám,,,הרופא נתן מרשם לתרופה חדשה.,The doctor gave a prescription for a new medicine.
"burden, cargo",B2,masculine,משא,,מַשָּׂא,masá,,,המשא הכבד הועמס על המשאית.,The heavy load was loaded onto the truck.
truck,A2,feminine,משאית,X,מַשָּׂאִית,masaít,כלי רכב כבד להובלת סחורות,,המשאית עומדת בחוצה.,The truck is standing outside.
something,A1,,משהו,X,מַשֶּׁהוּ,máshehu,דבר לא מוגדר במדויק,X,יש לי משהו להגיד.,I have something to say.
crazy,A2,adjective,משוגע,X,מְשׁוּגָע,mshugá,שאינו מתנהג בהיגיון,,הילד הזה משוגע על ספורט!,This kid is crazy about sports!
oar,B2,masculine,משוט,,מָשׁוֹט,mashot,,,החותר השתמש במשוט כדי להתקדם.,The rower used an oar to move forward.
paddle wheel,C,feminine,משוטה,,מְשׁוֹטֶה,meshotá,גלגל עם משוטים להנעה,,המשוטה סובבה את האונייה בנהר.,The paddle wheel turned the boat in the river.
"paste, cream",B1,feminine,משחה,,מִשְׁחָה,mishkhá,קרם רפואי או קוסמטי,,אני ממריח משחה על היד כי העור יבש.,I apply cream on my hand because my skin is dry.
game,A1,masculine,משחק,X,מִשְׂחָק,misħák,פעילות להנאה או תחרות,X,המשחק הזה מהנה.,This game is fun.
video game,A2,masculine,משחק וידאו,X,מִשְׂחַק וִידֵאוֹ,misħák vídeo,משחק מחשב עם דמויות ותמונה,,הוא משחק משחקי וידאו כל היום.,He plays video games all day.
board game,B1,masculine,משחק לוח,,מִשְׂחַק לוּחַ,misħák lúaħ,משחק עם לוח וחוקים,,משחקי לוח מאד מהנים.,Board games are very fun.
toothpaste,A2,feminine,משחת שיניים,X,מִשְׁחַת שִׁינַיִם,mishchát shináyim,קרם לניקוי שיניים,,אני שם משחת שיניים על המברשת.,I put toothpaste on the brush.
surface,B1,masculine,משטח,,מִשְׁטָח,mishtáħ,פני השטח של דבר,,המשטח צריך להיות חלק וישר.,The surface needs to be smooth and straight.
regime,B2,masculine,משטר,,מִשְׁטָר,mishtár,,,המשטר החדש הנהיג רפורמות.,The new regime introduced reforms.
police,A2,feminine,משטרה,X,מִשְׁטָרָה,mishtará,גוף שמפקח על החוק,,המשטרה הגיעה למקום הפשע.,The police arrived at the crime scene.
silk,B2,masculine,משי,,מֶשִׁי,meshi,,,השמלה עשויה מבד משי רך.,The dress is made of soft silk fabric.
silky,B2,adjective,משיי,,מְשִׁיִּי,mishyí,,,הצעיף היה נעים ומשיי.,The scarf was pleasant and silky.
"duration, extent",B2,masculine,משך,,מֶשֶׁךְ,méshekh,,,משך הנסיעה היה שלוש שעות.,The trip lasted three hours.
"pull, attract",B2,verb,משך,,מֶשֶׁךְ,mashákh,,,הפרסומת משכה תשומת לב רבה.,The advertisement attracted a lot of attention.
residence,B2,masculine,משכן,,מִשְׁכָּן,mishkán,,,המשכן של הנשיא שוכן בירושלים.,The president’s residence is located in Jerusalem.
"example, model",B2,masculine,משל,,מָשָׁל,mashál,,,המשל בסיפור הבהיר את הערך המוסרי.,The parable in the story clarified the moral value.
"govern, rule",B2,verb,משל,,מָשָׁל,mashál,,,המלך משל בצדק ובחוכמה.,The king ruled with justice and wisdom.
"shipment, delivery",B1,,משלוח,,מִשְׁלוֹחַ,mishlóaħ,שליחה של חבילה או דבר מה,,המשלוח יגיע בתוך שבוע.,The shipment will arrive within a week.
therefore,B2,,משמע,,מַשְׁמָע,mashmá,,,משמע שהחוק חל על כולם.,That means the law applies to everyone.
family,A1,feminine,משפחה,X,מִשְׁפָּחָה,mishpaħá,קבוצת קרובים הקשורים ביניהם,X,המשפחה שלי גדולה.,My family is big.
sentence,A2,masculine,משפט,X,מִשְׁפָּט,mishpát,משפט בדיבור או בכתיבה,,המשפט שכתבתי ערוך טוב.,The sentence I wrote is well-structured.
"trial, law",B1,masculine,משפט,,מִשְׁפָּט,mishpát,הליך משפטי או חוק,,המשפט הכריע בתיק.,The trial determined the case.
judicial,B2,masculine,משפטי,,מִשְׁפָּטִי,mishpatí,,,הסכסוך עבר להליך משפטי.,The conflict moved to a judicial process.
"drink, beverage",A2,masculine,משקה,X,מַשְׁקֶה,mashké,נוזל לשתייה,,היא שתתה משקה קר בקיץ.,She drank a cold beverage in the summer.
glasses,A1,masculine,משקפיים,X,מִשְׁקָפַיִם,mishkafáyim,כלי ראייה,X,המשקפיים שלי שחורים.,My glasses are black.
"office, ministry",A1,masculine,משרד,X,מִשְׂרָד,misrád,מבנה לעבודה או לממשל,X,המשרד נסגר בשש.,The office closes at six.
servant,B2,masculine,משרת,,מְשָׁרֵת,msharét,,,המשרת פתח את הדלת לאורחים.,The servant opened the door for the guests.
user,B1,masculine,משתמש,,מִשְׁתַּמֵּשׁ,mishtamésh,מי שעושה שימוש במשהו,,המשתמש צריך להיזהר בהזינות מידע אישי.,The user must be careful when entering personal information.
dead,A2,adjective,מת,X,מֵת,met,שאינו חי,,"הכלב נראה מת, אבל הוא ישן.","The dog looked dead, but it was just sleeping."
method,B2,feminine,מתודה,,מְתוֹדָה,metóda,,,החוקר הסביר את המתודה שבחר.,The researcher explained the method he chose.
curly,B1,adjective,מתולתל,,מְתוּלְתָּל,metultál,בעל שיער מתולתל,,לילד יש שיער מתולתל.,The child has curly hair.
sweet,A1,adjective,מתוק,X,מָתוֹק,matók,בעל טעם מתוק כסוכר,X,העגה הזאת מתוקה.,This cake is sweet.
when,A1,,מתי,X,מָתַי,matái,שאלה על זמן,X,מתי אתה בא?,When are you coming?
metal,B1,feminine,מתכת,,מַתֶּכֶת,matéħet,חומר קשה מתכתי,,המתכת הזאת קשה ויקרה.,This metal is hard and expensive.
metallic,B2,adjective,מתכתי,,מַתַּכְתִּי,mataħtí,,,הגשר היה בעל מבנה מתכתי.,The bridge had a metallic structure.
"math, maths",A2,masculine,מתמטיקה,X,מַתֵּימָטִיקָה,matemátika,מדע החישוב והמספרים,,בבית הספר אנו לומדים מתמטיקה.,"At school, we learn mathematics."
"gift, present",A1,feminine,מתנה,X,מַתָּנָה,mataná,חפץ שניתן לאדם לסימן הערכה,X,קיבלתי מתנה ליום הולדת.,I got a gift for my birthday.
advanced,A2,adjective,מתקדם,X,מִתְקַדֵּם,mitkadém,מתקדם קדימה מהרגיל,,השעור הזה מתקדם יותר מהרגיל.,This lesson is more advanced than usual.
handsome,B2,adjective,נאה,,נָאֶה,naé,,,זהו בחור נאה ומרשים.,He is a handsome and impressive young man.
"faithful, loyal",B1,adjective,נאמן,,נֶאֱמָן,neemán,ששומר אמונים ונאמן,,הכלב הנאמן לא עוזב את בעלו.,The loyal dog never leaves its owner.
loyalty,B2,feminine,נאמנות,,נֶאֱמָנוּת,neemanút,,,הכלב הראה נאמנות לבעליו.,The dog showed loyalty to its owner.
"against, opposite",A2,preposition,נגד,X,נֶגֶד,néged,בניגוד למשהו,,הקבוצה שיחקה נגד קבוצה אחרת.,The team played against another team.
virus,B2,masculine,נגיף,,נְגִיף,nagíf,,,הרופא הסביר שהנגיף אינו מסוכן.,The doctor explained that the virus is not dangerous.
touch,A2,verb,נגע,X,נָגַע,nagá,נגע בחפץ או אדם,,הילד נגע בחתול.,The child touched the cat.
rare,B1,adjective,נדיר,,נָדִיר,nadír,שאינו שכיח,,זה מאוד נדיר לראות חיה כזו בטבע.,It is very rare to see such an animal in the wild.
"great, wonderful",A2,adjective,נהדר,X,נֶהֱדָר,nehedár,מעולה או מצוין,,הים הכחול נראה נהדר.,The blue sea looked wonderful.
river,A1,masculine,נהר,X,נָהָר,nahár,זרם מים גדול,X,הנהר זרם בבקעה.,The river flowed through the valley.
